gene	PMID_PMCID	evidence
ENSG00000006007	25054189	miRTex
ENSG00000007372	25089088	miRTex
ENSG00000044574	26864693	miRTex
ENSG00000059804	25814668,25814668	miRTex
ENSG00000067560	27012608	miRTex
ENSG00000068903	27158385,27158385	miRTex
ENSG00000072310	21293178	miRTex
ENSG00000073756	27385366	miRTex
ENSG00000078579	18252210,20471450	miRTex
ENSG00000079999	26453926,26453926,26453926	miRTex
ENSG00000082641	27064872,27329039	miRTex
ENSG00000082701	24348261	miRTex
ENSG00000087088	27158385,27158385	miRTex
ENSG00000092439	27631550	miRTex
ENSG00000096717	21720722	miRTex
ENSG00000100219	26864693	miRTex
ENSG00000103707	27717584,27717584	miRTex
ENSG00000104419	23430405	miRTex
ENSG00000104972	26801612,26801612,25071443,19628698,27158385,27158385,26453926,25814668,25232110,26801612,27003614,27158385,19628698,27158385,27084336,20106983,25814668,25814668,26453926,19628698,25071443,25232110,19628698,25089088,26453926,19628698,25232110,20106983,25089088,26453926,27003614,20106983,26801612,27158385,25089088,19628698,25089088,25232110,26453926	miRTex
ENSG00000105647	25407931	miRTex
ENSG00000106327	24055409,24055409	miRTex
ENSG00000106688	24804999	miRTex
ENSG00000107859	22875923	miRTex
ENSG00000108064	27064872,27329039	miRTex
ENSG00000109654	21720722	miRTex
ENSG00000110092	24348261	miRTex
ENSG00000112561	23610405	miRTex
ENSG00000115415	24963279	miRTex
ENSG00000116288	24269020	miRTex
ENSG00000120708	21720722	miRTex
ENSG00000123405	21293178	miRTex
ENSG00000125398	27269730	miRTex
ENSG00000128272	26864693	miRTex
ENSG00000131095	26924929,26924929,26924929	miRTex
ENSG00000132640	21720722	miRTex
ENSG00000134318	27842305	miRTex
ENSG00000136826	27003614	miRTex
ENSG00000136944	24348261	miRTex
ENSG00000142192	21982160,21982160,21982160,21982160,27329039,21982160,21982160,21982160	miRTex
ENSG00000142208	25407931,27012608	miRTex
ENSG00000145335	26633009,26633009,27717584,27717584	miRTex
ENSG00000148737	24348261	miRTex
ENSG00000149295	26361355	miRTex
ENSG00000150907	25231457	miRTex
ENSG00000153094	25976060	miRTex
ENSG00000153234	23973300	miRTex
ENSG00000158828	26924929,26924929,26924929,26924929,26924929,27456084,27456084,26924929,26924929,26924929,26924929,27456084	miRTex
ENSG00000163092	27717584,27717584	miRTex
ENSG00000164885	24792712	miRTex
ENSG00000166068	24559646	miRTex
ENSG00000168621	26681446,26681446,26681446,26681446	miRTex
ENSG00000171295	27717584,27717584	miRTex
ENSG00000173039	25814668,25232110,25232110	miRTex
ENSG00000175197	26864693	miRTex
ENSG00000177169	26183158,26183158	miRTex
ENSG00000179348	25630869	miRTex
ENSG00000185345	27717584,27717584	miRTex
ENSG00000188906	20671708,26633009,27717584,20671708,27717584,26633009	miRTex
ENSG00000194717	24269020	miRTex
ENSG00000197919	24963279	miRTex
ENSG00000198793	27347320	miRTex
ENSG00000199020	26431046	miRTex
ENSG00000199043	27385366	miRTex
ENSG00000199069	21982160	miRTex
ENSG00000199080	22875923,25218846,25218846,27012608,17761882,25218846,22875923,27012608,27012608	miRTex
ENSG00000199090	26924929,26924929,26924929,26924929	miRTex
ENSG00000199158	24804999,24804999,24804999,26681446	miRTex
ENSG00000199161	25407931,24559646,25407931,25407931,24559646,25407931,25407931,25407931,24559646,25407931,24559646	miRTex
ENSG00000207562	25541488,25541488	miRTex
ENSG00000207569	18252210,20471450,20471450,18252210,20471450,18252210,20471450	miRTex
ENSG00000207586	24348261,24348261,24348261,24348261,24348261	miRTex
ENSG00000207587	27717584,27717584,27717584,27717584,27717584,27717584,27717584,27717584,27717584	miRTex
ENSG00000207637	26183158	miRTex
ENSG00000207646	21982160	miRTex
ENSG00000207695	20671708,20671708,20671708,27158385,24792712,26431046,25407931,21293178,27456084,25231457,27456084,24792712,23390134,23390134,26282218,26864693,25054189,23390134	miRTex
ENSG00000207730	25630869,25630869	miRTex
ENSG00000207741	27064872,27064872,27064872,27064872,27064872,27064872	miRTex
ENSG00000207808	27456084,27456084,27456084,27456084,27456084	miRTex
ENSG00000207811	25541488,24892887,25541488,24892887	miRTex
ENSG00000207814	21982160,21982160	miRTex
ENSG00000207864	27456084,27456084,27456084,27456084	miRTex
ENSG00000207870	23390134	miRTex
ENSG00000207990	25231457,25231457	miRTex
ENSG00000207997	21982160	miRTex
ENSG00000208037	25207598,25207598	miRTex
ENSG00000213585	26801612,26801612	miRTex
ENSG00000258227	20091141,20091141	miRTex
ENSG00000264583	26183158	miRTex
ENSG00000267200	23973300	miRTex
ENSG00000283242	26864693,26864693,26864693,26864693,26864693,26864693,26864693,26864693,26864693	miRTex
ENSG00000283733	26681446	miRTex
ENSG00000283762	21982160,21982160	miRTex
ENSG00000283819	27329039,27717584,27329039,27717584,27717584,27329039,27329039,27717584,27717584,27717584,27329039,27717584,27329039,27329039,27717584,27717584	miRTex
ENSG00000283824	27631550	miRTex
ENSG00000283844	26349993,26349993,26349993	miRTex
ENSG00000283904	26911687,26911687,24963279,24963279,26911687,24963279	miRTex
ENSG00000284202	26361355,26361355,26361355,26361355,26361355,26361355,26361355,26361355	miRTex
ENSG00000284357	26282218,26282218	miRTex
ENSG00000284485	26633009,23125283,26633009,26633009,23125283,23125283,26633009,23125283	miRTex
ENSG00000284536	21982160	miRTex
ENSG00000284544	26924929,26924929,26924929,26924929	miRTex
